architecture,condition_id,family,width,bytes,requested_protocol,protocol,requested_channels,channels,requested_sms,granted_sms,requested_threads,warps,warmup,iterations,rotate,qualified_control,unqualified_reasons,physical_floor_us,captures,repetitions,event_us,event_us_q1,event_us_q3,wall_us,wall_us_q1,wall_us_q3,paired_gap_us,paired_gap_us_q1,paired_gap_us_q3
a100,c0011,channels,2,3145728,LL,LL,32,32,0,108,0,16,20,100,0,True,,31.45728,205237;205466,5,86.1286354065,85.9648036957,86.5075206757,86.21183,86.05576,86.58817,0.08064932430001193,0.0780275519000071,0.08319459350001068
a100,c0011,channels,2,4194304,LL,LL,32,32,0,108,0,16,20,100,0,True,,41.943039999999996,205237;205466,5,110.571517944,110.561275482,110.684156418,110.66058,110.64177,110.81308,0.08906205599998884,0.08049451799999474,0.12892358199999876
a100,c0011,channels,2,8388608,LL,LL,32,32,0,108,0,16,20,100,0,True,,83.88607999999999,205237;205466,5,209.172477722,209.141769409,209.213447571,209.25619,209.2291,209.30037,0.08371227800000725,0.08236922500000787,0.08692242899999769
a100,c0012,channels,2,16384,LL128,LL128,1,1,0,108,0,20,20,100,0,True,,0.16383999999999999,205237;205466,5,25.3030395508,25.3030395508,25.3235197067,25.38275,25.38034,25.39978,0.07626029329999895,0.07579966950000028,0.07730044919999912
a100,c0012,channels,2,65536,LL128,LL128,1,1,0,108,0,20,20,100,0,True,,0.6553599999999999,205237;205466,5,29.9212789536,29.9008011818,29.9827194214,30.00436,29.9751,30.06448,0.08176057860000085,0.07893050059999851,0.0830810463999967
a100,c0012,channels,2,131072,LL128,LL128,1,1,0,108,0,20,20,100,0,True,,1.3107199999999999,205237;205466,5,36.8435192108,36.7820811272,36.8435192108,36.9218,36.85687,36.9271,0.07828078920000081,0.07722016539999998,0.08085910679999841
a100,c0012,channels,2,262144,LL128,LL128,1,1,0,108,0,20,20,100,0,True,,2.6214399999999998,205237;205466,5,49.3875217438,49.3875217438,49.4284820557,49.4751,49.46579,49.50377,0.07826825619999767,0.07528794430000119,0.08757825619999693
a100,c0012,channels,2,524288,LL128,LL128,1,1,0,108,0,20,20,100,0,True,,5.2428799999999995,205237;205466,5,71.8540811539,71.8438386917,71.8950414658,71.94232,71.92289,71.97129,0.07905130829999507,0.07624853419999056,0.08823884609999766
a100,c0012,channels,2,1048576,LL128,LL128,1,1,0,108,0,20,20,100,0,True,,10.485759999999999,205237;205466,5,118.220796585,118.118400574,118.231039047,118.30052,118.19331,118.33459,0.07972341500000368,0.07490942599999073,0.09787431799999524
a100,c0012,channels,2,2097152,LL128,LL128,1,1,0,108,0,20,20,100,0,True,,20.971519999999998,205237;205466,5,218.869762421,218.787841797,218.93119812,218.94459,218.85903,219.01115,0.07995187999998166,0.07482757900001502,0.0808137510000222
