architecture,width,lane,arm,bytes,model_us,measured_us,error_pct
a100,2,legacy,auto,1032192,34.20412454927988,51.76319927,-33.921927099464845
a100,2,legacy,auto,1048576,34.54583004711483,52.01920122,-33.590233535087656
a100,2,legacy,auto,1064960,34.88678323811932,53.96480113,-35.35270675031704
a100,2,legacy,auto,1081344,35.226997315515256,53.40160057,-34.0338174520838
a100,2,legacy,auto,1097728,35.56648504494193,53.40160057,-33.39809169517196
a100,2,legacy,auto,1114112,35.905258784484055,53.45280096,-32.82810603067777
a100,2,legacy,auto,1130496,36.24333050348027,53.60640213,-32.38992160752149
a100,2,legacy,auto,1146880,36.58071180020428,53.91360074,-32.149381050217954
a100,2,legacy,auto,1163264,36.91741391850111,53.91360074,-31.524859382817937
a100,2,legacy,auto,1179648,37.25344776345323,53.96480113,-30.96713601573272
a100,2,legacy,auto,1196032,37.588823916146914,55.34719676,-32.08540609718332
a100,2,legacy,auto,1212416,37.923552647601156,55.24479598,-31.35361987519977
a100,2,legacy,auto,1228800,38.2576439319186,55.24479598,-30.7488728064652
a100,2,legacy,auto,1245184,38.59110745870965,55.60319871,-30.5955262394478
a100,2,legacy,auto,1261568,38.92395264484154,55.70559949,-30.12560137364829
a100,2,legacy,auto,1277952,39.256188645554914,55.6543991,-29.46435631257239
a100,2,legacy,auto,1294336,39.58782436499117,56.72960356,-30.21663843795215
a100,2,legacy,auto,1310720,39.91886846616859,56.06399849,-28.797678472239507
a100,2,legacy,auto,1327104,40.24932938044214,57.13919923,-29.559164421558982
a100,2,legacy,auto,1343488,40.579215316479754,57.13919923,-28.981827076123423
a100,2,legacy,auto,1359872,40.90853426878651,57.19039962,-28.46957786516249
a100,2,legacy,auto,1376256,41.237294025802726,57.08799884,-27.765388761693842
a100,2,legacy,auto,1392640,41.56550217760442,57.39520118,-27.580178615893793
a100,2,legacy,auto,1409024,41.893166123227275,57.59999901,-27.268807563774168
a100,2,legacy,auto,1425408,42.220293077639816,57.85600096,-27.025213673461934
a100,2,legacy,auto,1441792,42.54689007838379,61.54239923,-30.86572735103329
a100,2,legacy,auto,1458176,42.8729639919029,59.23839658,-27.626393577341325
a100,2,legacy,auto,1474560,43.19852151957659,58.67519975,-26.376865006622175
a100,2,legacy,auto,1490944,43.52356920347738,58.88000131,-26.0808963397807
a100,2,legacy,auto,1507328,43.848113431865706,59.1871962,-25.916217954136332
a100,2,legacy,auto,1523712,44.17216044443727,59.44319814,-25.690134739380177
a100,2,legacy,auto,1540096,44.49571633733793,59.85280126,-25.65808884357983
a100,2,legacy,auto,1556480,44.818787067957174,60.21120027,-25.564036479957096
a100,2,legacy,auto,1572864,45.14137845951254,59.80160087,-24.51476582099643
a100,2,legacy,auto,1589248,45.463496205436975,60.46720222,-24.8129654816416
a100,2,legacy,auto,1605632,45.78514587357842,60.67199633,-24.536608908417602
a100,2,legacy,auto,1622016,46.10633291022299,60.7743971,-24.135268944983103
a100,2,legacy,auto,1638400,46.427062643948695,60.7743971,-23.60753070481929
a100,2,legacy,auto,1654784,46.747340289320924,61.08159944,-23.467393260976266
a100,2,legacy,auto,1671168,47.06717095043548,61.18400022,-23.072746500399578
a100,2,legacy,auto,1687552,47.38655962431861,61.95200235,-23.51085061527699
a100,2,legacy,auto,1703936,47.70551120419016,63.74400109,-25.160783150660926
