architecture,lane,arm,width,bytes,median_us,min_us,max_us,q1_us,q3_us,relative_iqr,repetitions
a100,legacy,auto,2,3883008,88.01279962,87.96159923,88.06400001,87.96159923,88.06400001,0.001163475999424144,5
a100,legacy,auto,2,3899392,88.57600391,88.1152004,89.54880387,88.47360313,88.6272043,0.0017341171786895272,5
a100,legacy,auto,2,3915776,88.52480352,88.32000196,88.78080547,88.37120235,88.6272043,0.0028918669098447736,5
a100,legacy,auto,2,3932160,88.78080547,88.57600391,89.24160153,88.6272043,89.24160153,0.006920383598092112,5
a100,legacy,auto,2,3948544,88.42240274,87.96159923,89.13920075,88.26880157,88.6272043,0.004053302318122562,5
a100,legacy,auto,2,3964928,88.93439919,88.78080547,89.75359797,88.83200586,89.03679997,0.0023027547480529488,5
a100,legacy,auto,2,3981312,89.08800036,89.03679997,89.19040114,89.03679997,89.13920075,0.0011494340380994092,5
a100,legacy,auto,2,3997696,89.49760348,89.34400231,91.39199555,89.44640309,90.41919559,0.010869480993615508,5
a100,legacy,auto,2,4014080,89.75359797,89.6511972,90.57279676,89.75359797,90.31680226,0.006275005155651272,5
a100,legacy,auto,2,4030464,90.00959992,89.95839953,90.47039598,89.95839953,90.1120007,0.0017064976417684506,5
a100,legacy,auto,2,4046848,90.47039598,90.26560187,90.93119949,90.36800265,90.57279676,0.002263658822111069,5
a100,legacy,auto,2,4063232,90.62399715,90.31680226,90.8799991,90.62399715,90.77759832,0.001694928218027754,5
a100,legacy,auto,2,4079616,90.57279676,90.06080031,91.44319594,90.52159637,91.18720144,0.007348840864036912,5
a100,legacy,auto,2,4096000,90.62399715,90.00959992,91.44319594,90.47039598,90.67519754,0.002259904290703567,5
a100,legacy,auto,2,4112384,91.13600105,90.57279676,91.49439633,90.8799991,91.18720144,0.00337081215393079,5
a100,legacy,auto,2,4128768,91.34079516,91.08480066,92.05760062,91.18720144,91.39199555,0.0022420881013929723,5
a100,legacy,auto,2,4145152,91.69919789,91.54559672,91.75039828,91.6479975,91.75039828,0.001116703115798611,5
a100,legacy,auto,2,4161536,92.05760062,91.85279906,92.56960452,91.85279906,92.31360257,0.005005599829851454,5
a100,legacy,auto,2,4177920,92.46720374,92.00640023,92.82559901,92.10880101,92.56960452,0.004983426462161612,5
a100,legacy,auto,2,4194304,92.51840413,92.21120179,92.72320569,92.26240218,92.51840413,0.0027670381088748916,5
