architecture,lane,width,bytes,warm,timed,persistent,rotate,median_us,q1_us,q3_us
a100,event,4,8,20,20,1,0,12.5440001488,12.4927997589,12.5952005386
a100,event,4,8,20,20,1,1,12.5440001488,12.3392000794,12.5440001488
a100,event,4,8,20,100,0,0,12.2265601158,12.2060799599,12.2470402718
a100,event,4,8,20,100,0,1,12.3596799374,12.3289597034,12.3904001713
a100,event,4,8,20,100,1,0,12.2675204277,12.0729601383,12.2675204277
a100,event,4,8,20,100,1,1,12.3699200153,12.2060799599,12.3699200153
a100,event,4,1024,5,20,0,0,14.5408004522,14.4896000624,14.591999352
a100,event,4,1024,5,20,0,1,15.1040002704,15.0015994906,15.3088003397
a100,event,4,1024,5,20,1,0,14.4383996725,14.2335996032,14.6944001317
a100,event,4,1024,5,20,1,1,15.1552006602,15.1040002704,15.20639956
a100,event,4,1024,5,100,0,0,14.1209602356,14.1107201576,14.1721594334
a100,event,4,1024,5,100,0,1,14.7967994213,14.7763204575,14.8479998112
a100,event,4,1024,5,100,1,0,13.998080492,13.998080492,14.1721594334
a100,event,4,1024,5,100,1,1,14.7353601456,14.7148799896,14.8787200451
a100,event,4,1024,20,20,0,0,14.2335996032,14.2335996032,14.2335996032
a100,event,4,1024,20,20,0,1,14.1312003136,14.0287995338,14.1312003136
a100,event,4,1024,20,20,1,0,14.3360003829,14.3360003829,14.3871992826
a100,event,4,1024,20,20,1,1,14.1312003136,14.0799999237,14.3871992826
a100,event,4,1024,20,100,0,0,14.1209602356,13.9673602581,14.2028796673
a100,event,4,1024,20,100,0,1,14.612480402,14.602240324,14.6636795998
a100,event,4,1024,20,100,1,0,14.1312003136,14.1107201576,14.1312003136
a100,event,4,1024,20,100,1,1,14.592000246,14.4895994663,14.602240324
a100,event,4,524288,5,20,0,0,23.1424003839,23.1424003839,23.398399353
a100,event,4,524288,5,20,0,1,24.7296005487,24.6784001589,24.8319998384
a100,event,4,524288,5,20,1,0,23.1935992837,23.1424003839,23.2447996736
a100,event,4,524288,5,20,1,1,24.8319998384,24.7807994485,24.8832002282
a100,event,4,524288,5,100,0,0,22.8351998329,22.794239521,22.9990410805
a100,event,4,524288,5,100,0,1,24.8524808884,24.8012804985,24.8627209663
a100,event,4,524288,5,100,1,0,22.8249597549,22.814719677,22.8351998329
a100,event,4,524288,5,100,1,1,24.7500801086,24.7091197968,24.8729610443
a100,event,4,524288,20,20,0,0,23.1935992837,23.1935992837,23.1935992837
a100,event,4,524288,20,20,0,1,23.1424003839,23.0399996042,23.2447996736
a100,event,4,524288,20,20,1,0,23.2960000634,23.1424003839,23.4495997429
a100,event,4,524288,20,20,1,1,23.0911999941,23.0399996042,23.1935992837
a100,event,4,524288,20,100,0,0,22.9683208466,22.8761601448,22.9683208466
a100,event,4,524288,20,100,0,1,24.5760011673,24.5555210114,24.616959095
a100,event,4,524288,20,100,1,0,22.9580807686,22.8556799889,22.9888010025
a100,event,4,524288,20,100,1,1,24.4736003876,24.3711996078,24.4736003876
a100,event,4,786432,5,20,0,0,26.5727996826,26.3680011034,26.6752004623
a100,event,4,786432,5,20,0,1,26.8287986517,26.7776012421,26.9823998213
a100,event,4,786432,5,20,1,0,26.5727996826,26.3680011034,26.7264008522
a100,event,4,786432,5,20,1,1,26.8799990416,26.8287986517,26.8799990416
a100,event,4,786432,5,100,0,0,26.0915207863,26.0915207863,26.2758398056
a100,event,4,786432,5,100,0,1,27.0847988129,27.0540809631,27.1155190468
a100,event,4,786432,5,100,1,0,26.1427211761,26.0915207863,26.1427211761
a100,event,4,786432,5,100,1,1,26.9824004173,26.9516801834,27.1462392807
a100,event,4,786432,20,20,0,0,26.7776012421,26.6240000725,26.7776012421
a100,event,4,786432,20,20,0,1,27.2383987904,27.1872013807,27.2383987904
a100,event,4,786432,20,20,1,0,26.7264008522,26.4703989029,26.7264008522
a100,event,4,786432,20,20,1,1,27.1872013807,27.0336002111,27.2383987904
a100,event,4,786432,20,100,0,0,26.4703989029,26.4089608192,26.4806389809
a100,event,4,786432,20,100,0,1,27.2691202164,27.2281599045,27.2691202164
a100,event,4,786432,20,100,1,0,26.4908790588,26.4089608192,26.5523195267
a100,event,4,786432,20,100,1,1,27.0950388908,27.0540809631,27.2076797485
a100,event,4,1048576,5,20,0,0,31.6927999258,31.6415995359,31.7440003157
a100,event,4,1048576,5,20,0,1,32.563200593,32.4607998133,32.563200593
a100,event,4,1048576,5,20,1,0,31.7440003157,31.6927999258,31.7952007055
a100,event,4,1048576,5,20,1,1,32.4095994234,32.4095994234,32.563200593
