architecture,width,bytes,control,baseline_us,reference_us,controlled_us,baseline_gap_us,controlled_gap_us,effect_us,twice_pooled_iqr_us,qualifies,diagnostic_tiny
gh200,2,2097152,workers_only,37.9296004772,37.9214,38.0032002926,0.008200477199999057,0.08180029260000055,0.07359981540000149,0.2807260154424145,False,False
gh200,2,2097152,rotation_only,37.9296004772,37.9214,38.9631986618,0.008200477199999057,1.0417986618000015,1.0335981846000024,0.3799254279841947,False,False
gh200,2,2097152,joint,37.9296004772,37.9214,39.0307211876,0.008200477199999057,1.1093211876000026,1.1011207104000036,0.33488375318649954,False,False
gh200,2,3145728,warmup_only,47.6752012968,47.68143,47.6815998554,0.006228703200001462,0.0001698554000029162,0.006398558600004378,0.5489293955789014,False,False
gh200,2,3145728,iterations_only,47.6752012968,47.68143,47.487039566,0.006228703200001462,0.1943904339999989,0.18816173079999743,0.33856365322809107,False,False
gh200,2,3145728,workers_only,47.6752012968,47.68143,47.6368010044,0.006228703200001462,0.04462899560000011,0.03840029239999865,0.3691670022457046,False,False
gh200,2,3145728,rotation_only,47.6752012968,47.68143,48.8319993019,0.006228703200001462,1.1505693018999992,1.1567980051000006,0.724961226346666,False,False
gh200,2,3145728,joint,47.6752012968,47.68143,48.9462423325,0.006228703200001462,1.2648123325,1.2710410357000015,0.4194910630814036,False,False
gh200,2,4194304,warmup_only,56.9504022598,56.92019,56.761598587,0.030212259800002528,0.15859141299999635,0.18880367279999888,0.5851288355411595,False,False
gh200,2,4194304,iterations_only,56.9504022598,56.92019,56.6767978668,0.030212259800002528,0.24339213319999686,0.2736043929999994,0.5152531858394978,False,False
gh200,2,4194304,workers_only,56.9504022598,56.92019,56.8304002285,0.030212259800002528,0.08978977150000134,0.12000203130000386,0.5106954438544957,False,False
gh200,2,4194304,rotation_only,56.9504022598,56.92019,58.5583984852,0.030212259800002528,1.6382084852000034,1.6079962254000009,0.8585665423015815,False,False
gh200,2,4194304,joint,56.9504022598,56.92019,58.2310390472,0.030212259800002528,1.3108490472000014,1.2806367873999989,0.7137822413242714,False,False
gh200,4,8,warmup_only,8.47359970212,8.08327,8.18720012903,0.39032970211999896,0.10393012902999921,0.28639957308999975,0.7073743648709436,False,True
gh200,4,8,iterations_only,8.47359970212,8.08327,7.93312013149,0.39032970211999896,0.15014986851000067,0.5404795706299996,0.6360747540857044,False,True
gh200,4,8,workers_only,8.47359970212,8.08327,8.20799991488,0.39032970211999896,0.12472991487999963,0.26559978723999933,0.5974502627327853,False,True
gh200,4,8,rotation_only,8.47359970212,8.08327,8.60479995608,0.39032970211999896,0.5215299560800002,0.13120025396000123,0.6124057595787497,False,True
gh200,4,8,joint,8.47359970212,8.08327,7.94495999813,0.39032970211999896,0.13831000187000075,0.5286397039899997,0.643282520909937,False,True
gh200,4,1024,warmup_only,9.48000028729,9.20292,9.14879962802,0.27708028728999956,0.05412037197999986,0.3312006592699994,1.1692393805842194,False,True
gh200,4,1024,iterations_only,9.48000028729,9.20292,8.99583995342,0.27708028728999956,0.2070800465799998,0.48416033386999935,1.1428618866279285,False,True
gh200,4,1024,workers_only,9.48000028729,9.20292,9.2431999743,0.27708028728999956,0.040279974299998855,0.2368003129900007,1.1363962429452188,False,True
gh200,4,1024,rotation_only,9.48000028729,9.20292,10.1792000234,0.27708028728999956,0.9762800233999993,0.6991997361099997,1.2146005856012831,False,True
gh200,4,1024,joint,9.48000028729,9.20292,9.64511990547,0.27708028728999956,0.4421999054699999,0.16511961818000032,1.1382529175824048,False,True
gh200,4,524288,warmup_only,14.0128001571,13.67127,13.9359995723,0.34153015709999934,0.26472957230000027,0.07680058479999907,0.38257202209412833,False,False
gh200,4,524288,iterations_only,14.0128001571,13.67127,13.6700797081,0.34153015709999934,0.0011902919000004175,0.34272044899999976,0.31489284596129397,True,False
gh200,4,524288,workers_only,14.0128001571,13.67127,14.0400007367,0.34153015709999934,0.3687307366999999,0.027200579600000552,0.3090120208269355,False,False
gh200,4,524288,rotation_only,14.0128001571,13.67127,15.3600007296,0.34153015709999934,1.6887307295999996,1.3472005725000002,0.7904237037596746,False,False
